No,Sample No,Batch No,Registration No / Reference No,Product Name,Lab,Source,Result,Priority,Received Date,Expected Date,
13,2020090023,3001/19,MAL20034491TC,RED GOOSE BRAND YUNAM JONJAO COUGH SYRUP,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110),
14,2020090024,3001/20,MAL20034695TC,Red Goose Brand Jongcao Skungee Cough Syrup,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110),
15,2020090025,2006121,MAL08082437TC,Cusmor Capsule,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110),
16,2020090026,B10702,MAL16060014T,Yi Shi Yuan Liu Wei Di Huang Wan Fine Powder,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110),
17,2020090027,B10201,MAL18056026T,Yi Shi Yuan Jian Bi Fine Powder,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110),
18,2020090028,B10301,MAL18046061T,Yi Shi Yuan Huang Qi Wu Wu Tang Fine Powder,"MB,HMT,HMS",SURV,IN LAB,N,8-Sep-20,15 Feb 2021 (110),
19,2020090029,KF21032019,MAL17086044TC,HOLISOM KACIP FATIMAH EXTRACT 100MG CAPSULE,"MB,HMT,HMS",SURV,IN LAB,Y,8-Sep-20,15 Feb 2021 (110),
20,2020090064,RT234Y20,MAL13125002TC,HEALTH BUILDERS ORGANIC Rooibos Tea,"MB,HMT,HMS",SURV,IN LAB,N,9-Sep-20,16 Feb 2021 (110),
21,2020090065,20THSP01,MAL13085013T,CHANTIVA Tablet Haruan SS PLUS,"MB,HMT,HMS",SURV,IN LAB,N,9-Sep-20,16 Feb 2021 (110),
22,2020090066,DB0016,MAL18126078T,Kordel™s Bio-Boswellia 100mg Vegetable Capsule,"MB,HMT,HMS",SURV,IN LAB,N,9-Sep-20,16 Feb 2021 (110),
23,2020090067,30039,MAL19988665TC,Well3 Lyophilized Royal Jelly,"HMS,MB,HMT",SURV,IN LAB,N,9-Sep-20,16 Feb 2021 (110),
24,2020090068,U465L901,MAL18116037TC,IVISPAN (Ivy Leaf 7mg/mL Cough Syrup),"MB,HMT,HMS",SURV,IN LAB,N,9-Sep-20,16 Feb 2021 (110),
25,2020090070,200221,MAL18056025TC,HMS CONCEPT C-NATTOLIN Capsule,"MB,HMT,HMS",SURV,IN LAB,N,9-Sep-20,16 Feb 2021 (110),
26,2020090071,2018120201,MAL19987680T,TZEPAO SANPIEN JIU (ZHONG YA PAI BRAND),"MB,HMT,HMS",SURV,IN LAB,N,9-Sep-20,16 Feb 2021 (110),
27,2020090072,ZKH 91202B,MAL19970187T,Zhi Ker Huang Cough Syrup,"MB,HMT,HMS",SURV,IN LAB,N,9-Sep-20,16 Feb 2021 (110),
28,2020090073,CCL 00301B,MAL19961843T,CHOONG CHU LU (SYRUP),"MB,HMT,HMS",SURV,IN LAB,N,9-Sep-20,16 Feb 2021 (110),
29,2020090074,NNH 00501C,MAL19988064T,BioZ Niu S-lim Herbal Tea,"MB,HMT,HMS",SURV,IN LAB,N,9-Sep-20,16 Feb 2021 (110),
30,2020090075,ANK 00601B,MAL19972456T,ANKERLIN (SYRUP),"MB,HMT,HMS",SURV,IN LAB,N,9-Sep-20,16 Feb 2021 (110),
31,2020090076,1809382,MAL13035005T,Yu Ping Feng Tablets,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
32,2020090077,1910593,MAL08051594T,San Bi Pian Tablet  410mg,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
33,2020090078,2004081,MAL13015053T,Nature\'s Green Xue Fu Zhu Yu Tablets,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
34,2020090079,1811521,MAL18126093T,Nature\'s Green Xuan Shen Plus Tablets,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
35,2020090081,1910613,MAL13015011T,Nature\'s Green Waist Pain Tablets,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
36,2020090082,1811293,MAL13075038T,Nature\\'s Green Shang Zhui Tai Capsules,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
37,2020090083,1904391,MAL18106076T,Nature\'s Green Persica & Carthamus Four Materials Tablets,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
38,2020090085,1906101,MAL13115024T,Nature\\'s Green Nose Clear Capsules,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
39,2020090086,1807191,MAL13065024T,Nature\\'s Green Eucommia Capsules,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
40,2020090087,1904351,MAL18126045T,Nature\'s Green Du Zhong Plus Tablets,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
41,2020090088,1903441,MAL13025002T,Nature\'s Green Constipation Relief Tablets,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
42,2020090090,1910541,MAL13115214T,Nature\'s Green Ba Zhen Pian,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
43,2020090091,1811512,MAL18106096T,Nature\'s Green Apricot Seed and Perilla Plus Tablets,"HMT,HMS",SURV,IN LAB,N,10-Sep-20,17 Feb 2021 (110),
44,2020090165,0220AAP15,MAL18106006NC,ajwa astaxanthin plus capsule,"FSK,MB,HMT",SURV,IN LAB,N,18-Sep-20,24 Feb 2021 (110),
